Date,StoreID,Sales
2023-01-01,101,4500
2023-01-01,102,5200
2023-01-01,103,3100
2023-01-02,101,4700
2023-01-02,102,5000
2023-01-02,103,2800
2023-01-03,101,5200
2023-01-03,102,5300
2023-01-03,103,3000
2023-01-04,101,4800
2023-01-04,102,4900
2023-01-04,103,4400
2023-01-05,101,6000
2023-01-05,102,5100
2023-01-05,103,4000
2023-01-06,101,5500
2023-01-06,102,5200
2023-01-06,103,4200
2023-01-07,101,5300
2023-01-07,102,5100
2023-01-07,103,3900
2023-01-08,101,4400
2023-01-08,102,4300
2023-01-08,103,3600
2023-01-09,101,4700
2023-01-09,102,5500
2023-01-09,103,3700
2023-01-10,101,4900
2023-01-10,102,5200
2023-01-10,103,3800
